CARD NAME,RELEASE DATE,SET,RARITY,Shandalar ID,Gatherer ID,TYPE,COST,POWER,TOUGHNESS,TEXT,CTYPE,COLOR_IDENTITY
Gray Ogre,10/1/1993,Limited Edition Beta,Common,.104,499,Creature - Ogre,{2}{R},2,2,,mono,{R}
Grizzly Bears,10/1/1993,Limited Edition Beta,Common,.106,450,Creature - Bear,{1}{G},2,2,,mono,{G}
Guardian Angel,10/1/1993,Limited Edition Beta,Common,.107,548,Instant,{X}{W},,,"Prevent the next X damage that would be dealt to target creature or player this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that creature or player this turn.",mono,{W}
Healing Salve,10/1/1993,Limited Edition Beta,Common,.108,549,Instant,{W},,,Choose one- Target player gains 3 life; or prevent the next 3 damage that would be dealt to target creature or player this turn.,mono,{W}
Hill Giant,10/1/1993,Limited Edition Beta,Common,.110,500,Creature - Giant,{3}{R},3,3,,mono,{R}
Holy Armor,10/1/1993,Limited Edition Beta,Common,.111,550,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature gets +0/+2.<br>{W}: Enchanted creature gets +0/+1 until end of turn.,mono,{W}
Holy Strength,10/1/1993,Limited Edition Beta,Common,.112,551,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature gets +1/+2.,mono,{W}
Howl from Beyond,10/1/1993,Limited Edition Beta,Common,.113,362,Instant,{X}{B},,,Target creature gets +X/+0 until end of turn.,mono,{B}
Hurloon Minotaur,10/1/1993,Limited Edition Beta,Common,.115,501,Creature - Minotaur,{1}{R}{R},2,3,,mono,{R}
Invisibility,10/1/1993,Limited Edition Beta,Common,.122,402,Enchantment - Aura,{U}{U},,,Enchant creature<br>Enchanted creature can't be blocked except by Walls.,mono,{U}
Ironclaw Orcs,10/1/1993,Limited Edition Beta,Common,.124,502,Creature - Orc,{1}{R},2,2,Ironclaw Orcs can't block creatures with power 2 or greater.,mono,{R}
Ironroot Treefolk,10/1/1993,Limited Edition Beta,Common,.125,454,Creature - Treefolk,{4}{G},3,5,,mono,{G}
Jump,10/1/1993,Limited Edition Beta,Common,.133,403,Instant,{U},,,Target creature gains flying until end of turn.,mono,{U}
Lightning Bolt,10/1/1993,Limited Edition Beta,Common,.145,504,Instant,{R},,,Lightning Bolt deals 3 damage to target creature or player.,mono,{R}
Llanowar Elves,10/1/1993,Limited Edition Beta,Common,.149,461,Creature - Elf Druid,{G},1,1,{T}: Add {G} to your mana pool.,mono,{G}
Merfolk of the Pearl Trident,10/1/1993,Limited Edition Beta,Common,.160,409,Creature - Merfolk,{U},1,1,,mono,{U}
Mesa Pegasus,10/1/1993,Limited Edition Beta,Common,.161,555,Creature - Pegasus,{1}{W},1,1,"Flying; banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>",mono,{W}
Mons's Goblin Raiders,10/1/1993,Limited Edition Beta,Common,.163,507,Creature - Goblin,{R},1,1,,mono,{R}
Paralyze,10/1/1993,Limited Edition Beta,Common,.179,370,Enchantment - Aura,{B},,,"Enchant creature<br>When Paralyze enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.<br>At the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If he or she does, untap the creature.",mono,{B}
Pearled Unicorn,10/1/1993,Limited Edition Beta,Common,.180,557,Creature - Unicorn,{2}{W},2,2,,mono,{W}
Pestilence,10/1/1993,Limited Edition Beta,Common,.182,371,Enchantment,{2}{B}{B},,,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.<br>{B}: Pestilence deals 1 damage to each creature and each player.",mono,{B}
Phantasmal Terrain,10/1/1993,Limited Edition Beta,Common,.184,411,Enchantment - Aura,{U}{U},,,"Enchant land<br>As Phantasmal Terrain enters the battlefield, choose a basic land type.<br>Enchanted land is the chosen type.",mono,{U}
Plague Rats,10/1/1993,Limited Edition Beta,Common,.187,372,Creature - Rat,{2}{B},,,Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.,mono,{B}
Power Leak,10/1/1993,Limited Edition Beta,Common,.190,414,Enchantment - Aura,{1}{U},,,"Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, that player may pay any amount of mana. Power Leak deals 2 damage to that player. Prevent X of that damage, where X is the amount of mana that player paid this way.",mono,{U}
Power Sink,10/1/1993,Limited Edition Beta,Common,.191,415,Instant,{X}{U},,,"Counter target spell unless its controller pays {X}. If he or she doesn't, that player taps all lands with mana abilities he or she controls and empties his or her mana pool.",mono,{U}
Prodigal Sorcerer,10/1/1993,Limited Edition Beta,Common,.193,416,Creature - Human Wizard,{2}{U},1,1,{T}: Prodigal Sorcerer deals 1 damage to target creature or player.,mono,{U}
Psychic Venom,10/1/1993,Limited Edition Beta,Common,.195,418,Enchantment - Aura,{1}{U},,,"Enchant land<br>Whenever enchanted land becomes tapped, Psychic Venom deals 2 damage to that land's controller.",mono,{U}
Raise Dead,10/1/1993,Limited Edition Beta,Common,.198,373,Sorcery,{B},,,Return target creature card from your graveyard to your hand.,mono,{B}
Red Elemental Blast,10/1/1993,Limited Edition Beta,Common,.199,512,Instant,{R},,,Choose one- Counter target blue spell; or destroy target blue permanent.,mono,{R}
Regeneration,10/1/1993,Limited Edition Beta,Common,.201,464,Enchantment - Aura,{1}{G},,,"Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>{G}: Regenerate enchanted creature. <i>(The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>",mono,{G}
Samite Healer,10/1/1993,Limited Edition Beta,Common,.211,564,Creature - Human Cleric,{1}{W},1,1,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,mono,{W}
Scathe Zombies,10/1/1993,Limited Edition Beta,Common,.214,376,Creature - Zombie,{2}{B},2,2,,mono,{B}
Scryb Sprites,10/1/1993,Limited Edition Beta,Common,.217,466,Creature - Faerie,{G},1,1,Flying,mono,{G}
Sea Serpent,10/1/1993,Limited Edition Beta,Common,.218,419,Creature - Serpent,{5}{U},5,5,"Sea Serpent can't attack unless defending player controls an Island.<br><br>When you control no Islands, sacrifice Sea Serpent.",mono,{U}
Shanodin Dryads,10/1/1993,Limited Edition Beta,Common,.222,467,Creature - Dryad,{G},1,1,Forestwalk,mono,{G}
Shatter,10/1/1993,Limited Edition Beta,Common,.223,516,Instant,{1}{R},,,Destroy target artifact.,mono,{R}
Sinkhole,10/1/1993,Limited Edition Beta,Common,.226,380,Sorcery,{B}{B},,,Destroy target land.,mono,{B}
Spell Blast,10/1/1993,Limited Edition Beta,Common,.232,422,Instant,{X}{U},,,Counter target spell with converted mana cost X.,mono,{U}
Stone Rain,10/1/1993,Limited Edition Beta,Common,.236,520,Sorcery,{2}{R},,,Destroy target land.,mono,{R}
Stream of Life,10/1/1993,Limited Edition Beta,Common,.237,468,Sorcery,{X}{G},,,Target player gains X life.,mono,{G}
Terror,10/1/1993,Limited Edition Beta,Common,.242,381,Instant,{1}{B},,,"Destroy target nonartifact, nonblack creature. It can't be regenerated.",mono,{B}
Tranquility,10/1/1993,Limited Edition Beta,Common,.251,471,Sorcery,{2}{G},,,Destroy all enchantments.,mono,{G}
Twiddle,10/1/1993,Limited Edition Beta,Common,.256,428,Instant,{U},,,"You may tap or untap target artifact, creature, or land.",mono,{U}
Unholy Strength,10/1/1993,Limited Edition Beta,Common,.259,382,Enchantment - Aura,{B},,,Enchant creature<br>Enchanted creature gets +2/+1.,mono,{B}
Unsummon,10/1/1993,Limited Edition Beta,Common,.260,429,Instant,{U},,,Return target creature to its owner's hand.,mono,{U}
Wall of Wood,10/1/1993,Limited Edition Beta,Common,.275,476,Creature - Wall,{G},0,3,Defender <i>(This creature can't attack.)</i>,mono,{G}
War Mammoth,10/1/1993,Limited Edition Beta,Common,.277,478,Creature - Elephant,{3}{G},3,3,Trample,mono,{G}
Weakness,10/1/1993,Limited Edition Beta,Common,.280,385,Enchantment - Aura,{B},,,Enchant creature<br>Enchanted creature gets -2/-1.,mono,{B}
Wild Growth,10/1/1993,Limited Edition Beta,Common,.285,480,Enchantment - Aura,{G},,,"Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds {G} to his or her mana pool <i>(in addition to the mana the land produces)</i>.",mono,{G}
Air Elemental,10/1/1993,Limited Edition Beta,Uncommon,.0,389,Creature - Elemental,{3}{U}{U},4,4,Flying,mono,{U}
Animate Artifact,10/1/1993,Limited Edition Beta,Uncommon,.2,391,Enchantment - Aura,{3}{U},,,"Enchant artifact<br>As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.",mono,{U}
Animate Dead,10/1/1993,Limited Edition Beta,Uncommon,.3,343,Enchantment - Aura,{1}{B},,,"Enchant creature card in a graveyard<br>When Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.<br>Enchanted creature gets -1/-0.",mono,{B}
Basalt Monolith,10/1/1993,Limited Edition Beta,Uncommon,.11,297,Artifact,{3},,,Basalt Monolith doesn't untap during your untap step.<br>{T}: Add {3} to your mana pool.<br>{3}: Untap Basalt Monolith.,colorless,
Berserk,10/1/1993,Limited Edition Beta,Uncommon,.14,436,Instant,{G},,,"Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.",mono,{G}
Black Knight,10/1/1993,Limited Edition Beta,Uncommon,.16,345,Creature - Human Knight,{B}{B},2,2,"First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>Protection from white <i>(This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)</i>",mono,{B}
Black Vise,10/1/1993,Limited Edition Beta,Uncommon,.18,299,Artifact,{1},,,"As Black Vise enters the battlefield, choose an opponent.<br>At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in his or her hand minus 4.",colorless,
Black Ward,10/1/1993,Limited Edition Beta,Uncommon,.19,531,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature has protection from black. This effect doesn't remove Black Ward.,mono,{W}
Blue Ward,10/1/1993,Limited Edition Beta,Uncommon,.23,534,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature has protection from blue. This effect doesn't remove Blue Ward.,mono,{W}
Bog Wraith,10/1/1993,Limited Edition Beta,Uncommon,.24,346,Creature - Wraith,{3}{B},3,3,Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>,mono,{B}
Burrowing,10/1/1993,Limited Edition Beta,Uncommon,.26,481,Enchantment - Aura,{R},,,Enchant creature<br>Enchanted creature has mountainwalk.,mono,{R}
Castle,10/1/1993,Limited Edition Beta,Uncommon,.28,535,Enchantment,{3}{W},,,Untapped creatures you control get +0/+2.,mono,{W}
Celestial Prism,10/1/1993,Limited Edition Beta,Uncommon,.29,300,Artifact,{3},,,"{2}, {T}: Add one mana of any color to your mana pool.",colorless,
Channel,10/1/1993,Limited Edition Beta,Uncommon,.30,439,Sorcery,{G}{G},,,"Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {1} to your mana pool.",mono,{G}
Clone,10/1/1993,Limited Edition Beta,Uncommon,.10399,394,Creature - Shapeshifter,{3}{U},0,0,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,mono,{U}
Consecrate Land,10/1/1993,Limited Edition Beta,Uncommon,.41,541,Enchantment - Aura,{W},,,Enchant land<br>Enchanted land is indestructible and can't be enchanted by other Auras.,mono,{W}
Conservator,10/1/1993,Limited Edition Beta,Uncommon,.42,303,Artifact,{4},,,"{3}, {T}: Prevent the next 2 damage that would be dealt to you this turn.",colorless,
Control Magic,10/1/1993,Limited Edition Beta,Uncommon,.44,395,Enchantment - Aura,{2}{U}{U},,,Enchant creature<br>You control enchanted creature.,mono,{U}
Conversion,10/1/1993,Limited Edition Beta,Uncommon,.45,542,Enchantment,{2}{W}{W},,,"At the beginning of your upkeep, sacrifice Conversion unless you pay {W}{W}.<br>All Mountains are Plains.",mono,{W}
Copper Tablet,10/1/1993,Limited Edition Beta,Uncommon,.46,304,Artifact,{2},,,"At the beginning of each player's upkeep, Copper Tablet deals 1 damage to that player.",colorless,
Crystal Rod,10/1/1993,Limited Edition Beta,Uncommon,.52,305,Artifact,{1},,,"Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.",colorless,
Cursed Land,10/1/1993,Limited Edition Beta,Uncommon,.53,348,Enchantment - Aura,{2}{B}{B},,,"Enchant land<br>At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.",mono,{B}
Deathgrip,10/1/1993,Limited Edition Beta,Uncommon,.58,351,Enchantment,{B}{B},,,{B}{B}: Counter target green spell.,mono,{B}
Demonic Tutor,10/1/1993,Limited Edition Beta,Uncommon,.62,355,Sorcery,{1}{B},,,Search your library for a card and put that card into your hand. Then shuffle your library.,mono,{B}
Dragon Whelp,10/1/1993,Limited Edition Beta,Uncommon,.67,484,Creature - Dragon,{2}{R}{R},2,3,"Flying<br>{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.",mono,{R}
Dwarven Demolition Team,10/1/1993,Limited Edition Beta,Uncommon,.71,485,Creature - Dwarf,{2}{R},1,1,{T}: Destroy target Wall.,mono,{R}
Earth Elemental,10/1/1993,Limited Edition Beta,Uncommon,.73,487,Creature - Elemental,{3}{R}{R},4,5,,mono,{R}
Feedback,10/1/1993,Limited Edition Beta,Uncommon,.82,400,Enchantment - Aura,{2}{U},,,"Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.",mono,{U}
Fire Elemental,10/1/1993,Limited Edition Beta,Uncommon,.83,491,Creature - Elemental,{3}{R}{R},5,4,,mono,{R}
Flashfires,10/1/1993,Limited Edition Beta,Uncommon,.86,494,Sorcery,{3}{R},,,Destroy all Plains.,mono,{R}
Gloom,10/1/1993,Limited Edition Beta,Uncommon,.100,361,Enchantment,{2}{B},,,White spells cost {3} more to cast.<br>Activated abilities of white enchantments cost {3} more to activate.,mono,{B}
Green Ward,10/1/1993,Limited Edition Beta,Uncommon,.105,547,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature has protection from green. This effect doesn't remove Green Ward.,mono,{W}
Hurricane,10/1/1993,Limited Edition Beta,Uncommon,.116,451,Sorcery,{X}{G},,,Hurricane deals X damage to each creature with flying and each player.,mono,{G}
Hypnotic Specter,10/1/1993,Limited Edition Beta,Uncommon,.117,363,Creature - Specter,{1}{B}{B},2,2,"Flying<br>Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",mono,{B}
Ice Storm,10/1/1993,Limited Edition Beta,Uncommon,.118,452,Sorcery,{2}{G},,,Destroy target land.,mono,{G}
Icy Manipulator,10/1/1993,Limited Edition Beta,Uncommon,.119,314,Artifact,{4},,,"{1}, {T}: Tap target artifact, creature, or land.",colorless,
Instill Energy,10/1/1993,Limited Edition Beta,Uncommon,.121,453,Enchantment - Aura,{G},,,Enchant creature<br>Enchanted creature can attack as though it had haste.<br>{0}: Untap enchanted creature. Activate this ability only during your turn and only once each turn.,mono,{G}
Iron Star,10/1/1993,Limited Edition Beta,Uncommon,.123,316,Artifact,{1},,,"Whenever a player casts a red spell, you may pay {1}. If you do, you gain 1 life.",colorless,
Ivory Cup,10/1/1993,Limited Edition Beta,Uncommon,.128,317,Artifact,{1},,,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",colorless,
Jade Statue,10/1/1993,Limited Edition Beta,Uncommon,.130,319,Artifact,{4},,,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.,colorless,
Juggernaut,10/1/1993,Limited Edition Beta,Uncommon,.132,321,Artifact Creature - Juggernaut,{4},5,3,Juggernaut attacks each turn if able.<br>Juggernaut can't be blocked by Walls.,colorless,
Karma,10/1/1993,Limited Edition Beta,Uncommon,.134,553,Enchantment,{2}{W}{W},,,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps he or she controls.",mono,{W}
Keldon Warlord,10/1/1993,Limited Edition Beta,Uncommon,.135,503,Creature - Human Barbarian,{2}{R}{R},,,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.,mono,{R}
Lance,10/1/1993,Limited Edition Beta,Uncommon,.138,554,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature has first strike.,mono,{W}
Lifeforce,10/1/1993,Limited Edition Beta,Uncommon,.142,457,Enchantment,{G}{G},,,{G}{G}: Counter target black spell.,mono,{G}
Lifetap,10/1/1993,Limited Edition Beta,Uncommon,.144,404,Enchantment,{U}{U},,,"Whenever a Forest an opponent controls becomes tapped, you gain 1 life.",mono,{U}
Living Wall,10/1/1993,Limited Edition Beta,Uncommon,.148,324,Artifact Creature - Wall,{4},0,6,Defender <i>(This creature can't attack.)</i><br>{1}: Regenerate Living Wall.,colorless,
Lure,10/1/1993,Limited Edition Beta,Uncommon,.152,462,Enchantment - Aura,{1}{G}{G},,,Enchant creature<br>All creatures able to block enchanted creature do so.,mono,{G}
Nettling Imp,10/1/1993,Limited Edition Beta,Uncommon,.172,368,Creature - Imp,{2}{B},1,1,"{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. If it doesn't, destroy it at the beginning of the next end step. Activate this ability only during an opponent's turn, before attackers are declared.",mono,{B}
Orcish Artillery,10/1/1993,Limited Edition Beta,Uncommon,.177,508,Creature - Orc Warrior,{1}{R}{R},1,3,{T}: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.,mono,{R}
Orcish Oriflamme,10/1/1993,Limited Edition Beta,Uncommon,.178,509,Enchantment,{3}{R},,,Attacking creatures you control get +1/+0.,mono,{R}
Psionic Blast,10/1/1993,Limited Edition Beta,Uncommon,.194,417,Instant,{2}{U},,,Psionic Blast deals 4 damage to target creature or player and 2 damage to you.,mono,{U}
Red Ward,10/1/1993,Limited Edition Beta,Uncommon,.200,560,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature has protection from red. This effect doesn't remove Red Ward.,mono,{W}
Regrowth,10/1/1993,Limited Edition Beta,Uncommon,.202,465,Sorcery,{1}{G},,,Return target card from your graveyard to your hand.,mono,{G}
Resurrection,10/1/1993,Limited Edition Beta,Uncommon,.203,561,Sorcery,{2}{W}{W},,,Return target creature card from your graveyard to the battlefield.,mono,{W}
Rod of Ruin,10/1/1993,Limited Edition Beta,Uncommon,.208,334,Artifact,{4},,,"{3}, {T}: Rod of Ruin deals 1 damage to target creature or player.",colorless,
Sacrifice,10/1/1993,Limited Edition Beta,Uncommon,.210,375,Instant,{B},,,"As an additional cost to cast Sacrifice, sacrifice a creature.<br>Add to your mana pool an amount of {B} equal to the sacrificed creature's converted mana cost.",mono,{B}
Scavenging Ghoul,10/1/1993,Limited Edition Beta,Uncommon,.215,377,Creature - Zombie,{3}{B},2,2,"At the beginning of each end step, put a corpse counter on Scavenging Ghoul for each creature that died this turn.<br>Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.",mono,{B}
Sengir Vampire,10/1/1993,Limited Edition Beta,Uncommon,.220,378,Creature - Vampire,{3}{B}{B},4,4,"Flying<br>Whenever a creature dealt damage by Sengir Vampire this turn dies, put a +1/+1 counter on Sengir Vampire.",mono,{B}
Serra Angel,10/1/1993,Limited Edition Beta,Uncommon,.221,566,Creature - Angel,{3}{W}{W},4,4,Flying<br>Vigilance <i>(Attacking doesn't cause this creature to tap.)</i>,mono,{W}
Simulacrum,10/1/1993,Limited Edition Beta,Uncommon,.225,379,Instant,{1}{B},,,You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.,mono,{B}
Siren's Call,10/1/1993,Limited Edition Beta,Uncommon,.227,420,Instant,{U},,,"Cast Siren's Call only during an opponent's turn, before attackers are declared.<br>Creatures the active player controls attack this turn if able.<br>At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn.",mono,{U}
Sol Ring,10/1/1993,Limited Edition Beta,Uncommon,.230,335,Artifact,{1},,,{T}: Add {2} to your mana pool.,colorless,
Soul Net,10/1/1993,Limited Edition Beta,Uncommon,.231,336,Artifact,{1},,,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life.",colorless,
Steal Artifact,10/1/1993,Limited Edition Beta,Uncommon,.234,424,Enchantment - Aura,{2}{U}{U},,,Enchant artifact<br>You control enchanted artifact.,mono,{U}
Stone Giant,10/1/1993,Limited Edition Beta,Uncommon,.235,519,Creature - Giant,{2}{R}{R},3,4,{T}: Target creature you control with toughness less than Stone Giant's power gains flying until end of turn. Destroy that creature at the beginning of the next end step.,mono,{R}
Swords to Plowshares,10/1/1993,Limited Edition Beta,Uncommon,.240,567,Instant,{W},,,Exile target creature. Its controller gains life equal to its power.,mono,{W}
Thicket Basilisk,10/1/1993,Limited Edition Beta,Uncommon,.244,469,Creature - Basilisk,{3}{G}{G},2,4,"Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat.",mono,{G}
Throne of Bone,10/1/1993,Limited Edition Beta,Uncommon,.246,339,Artifact,{1},,,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life.",colorless,
Tsunami,10/1/1993,Limited Edition Beta,Uncommon,.253,472,Sorcery,{3}{G},,,Destroy all Islands.,mono,{G}
Tunnel,10/1/1993,Limited Edition Beta,Uncommon,.255,521,Instant,{R},,,Destroy target Wall. It can't be regenerated.,mono,{R}
Uthden Troll,10/1/1993,Limited Edition Beta,Uncommon,.261,523,Creature - Troll,{2}{R},2,2,{R}: Regenerate Uthden Troll.,mono,{R}
Wall of Air,10/1/1993,Limited Edition Beta,Uncommon,.267,432,Creature - Wall,{1}{U}{U},1,5,"Defender, flying <i>(This creature can't attack, and it can block creatures with flying.)</i>",mono,{U}
